ano_criacao_pedido;procedimento_contratacao_grupo;procedimento_contratacao_detalhamento_1;procedimento_contratacao_especializacao;codigo_orgao_entidade_compra;nome_orgao_entidade_compra;numero_processo_formatado;data_criacao_pedido;data_licitacao;numero_contrato;indicador_termo_de_contrato;situacao_processo;situacao_compra_item_processo;criterio_julgamento;objeto_processo;unnamed_15;nome_empresarial_nome_fornecedor;unnamed_17;cnpj_cpf_fornecedor_formatado;numero_parecer_juridico;data_parecer_juridico;edital_retificacao_arquivos;contrato_termoaditivo_arquivos;valor_total_referencia_item_processo;valor_total_homologado;valor_total_atualizado
2025;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5070;CIA DE HABITACAO DO ESTADO DE MG LTDA - COHAB;5071004 000005/2025;2025-09-15;;0;;Concluído;Fracassado;Por lote;Alienação de Imóveis;;INEXISTENTE;;;56,0;2025-09-15;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=634992;;0,0;0,0;0,0
2025;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5130;INSTITUTO DE DESENVOLVIMENTO INTEGRADO DE MG;5131001 000003/2025;2025-10-30;;0;;Concluído;Fracassado;Por lote;Contratação de operadora de plano de saúde coletivo empresarial.;;INEXISTENTE;;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=639738;;0,0;0,0;0,0
2025;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5140;CIA DE TECNOLOGIA DA INFORMACAO DO ESTADO DE MG;5141001 000033/2025;2025-09-26;;0;;Concluído;Deserto;Por lote;Alienação de Bens Móveis de propriedade da PRODEMGE.;;INEXISTENTE;;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=635315;;25629,65;0,0;0,0
2025;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5200;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;5201023 000001/2025;2025-03-20;;0;;Concluído;Deserto;Por lote;Alienação de bens imóveis, conforme especificações e condições contidas no Edital e em seus anexos;;INEXISTENTE;;;2714,0;2025-05-22;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=622579;;4168000,0;0,0;0,0
2025;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5200;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;5201023 000002/2025;2025-10-07;;0;;Concluído;Deserto;Por lote;Alienação de bens imóveis, conforme especificações e condições contidas no Edital e em seus anexos;;INEXISTENTE;;;948,0;2025-10-14;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=637690;;109741,34;0,0;0,0
2025;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5200;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.;5201023 000002/2025;2025-10-08;;0;;Concluído;Deserto;Por lote;Alienação de bens imóveis, conforme especificações e condições contidas no Edital e em seus anexos;;INEXISTENTE;;;948,0;2025-10-14;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=637690;;13405421,86;0,0;0,0
2025;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5380;MINAS GERAIS ADMINISTRACAO E SERVICOS SA;5381006 000011/2025;2025-06-25;;0;;Concluído;Fracassado;Por item;ALIENAÇÃO DE VEICULOS EM DESUSO DA MGS;;INEXISTENTE;;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=629490;;0,0;0,0;0,0
2025;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5380;MINAS GERAIS ADMINISTRACAO E SERVICOS SA;5381006 000011/2025;2025-06-26;;0;;Concluído;Fracassado;Por item;ALIENAÇÃO DE VEICULOS EM DESUSO DA MGS;;INEXISTENTE;;;;;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=629490;;0,0;0,0;0,0
2025;Bens e serviços - Lei nº 13.303/16;Procedimento das Estatais;Procedimento das Estatais - Procedimento das Estatais - Eletrônico;5380;MINAS GERAIS ADMINISTRACAO E SERVICOS SA;5381006 000015/2025;2025-07-24;;0;;Concluído;Fracassado;Por lote;outsourcing de impressão, incluindo digitalização e cópia;;INEXISTENTE;;;63,0;2025-08-28;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=631705;;0,0;0,0;0,0
2025;Bens e serviços - Lei nº 14.133/21;Concorrência;Concorrência - Concorrência eletrônica;1030;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;1031018 000882/2025;2025-11-04;2025-12-12;9496622;SIM;Concluído;Com Fornecedor Vencedor;Por lote;Execução da obra de construção do novo Fórum da Comarca de Timóteo.;;ALCANCE ENGENHARIA E CONSTRUCAO LTDA;;20.501.854/0001-69;415,0;2025-11-17;https://www1.compras.mg.gov.br/processocompra/processo/consultaEditalRetificaoProcesso.html?metodo=visualizarEditalRetificao&id=640604;https://www1.compras.mg.gov.br/contrato/gestaocontratos/arquivosContrato.html?idContrato=211582;25768898,99;21864910,79;21864910,79
